,lat,lon,type
2253,35.52166667,127.5065833,산림
2254,35.53219444,127.5055,산림
2255,35.52772222,127.51175,산림
2256,36.69325,127.4901667,경작지
2257,36.74416667,127.4294722,산림
2258,36.74341667,127.4308611,산림
2259,36.73477778,127.4355833,산림
2260,36.73105556,127.4338333,산림
2261,36.66211111,127.4213889,경작지
2262,36.63388889,127.4029722,산림
2263,36.63352778,127.4121944,산림
2264,36.69322222,127.3917222,산림
2265,36.69805556,127.3863611,산림
2266,36.74636111,127.4008056,경작지
2267,36.72269444,127.3951944,산림
2268,36.72297222,127.3923056,산림
2269,36.72255556,127.3922222,산림
2270,36.55772222,127.3553611,산림
2271,36.57275,127.3577778,산림
2272,36.61138889,127.3199722,경작지
2273,36.60972222,127.2665,산림
2274,36.61930556,127.2536111,산림
2275,36.61558333,127.2596111,산림
2276,36.61205556,127.2561111,산림
2277,36.59261111,127.3635,산림
2278,36.54780556,127.3164167,산림
2279,36.54491667,127.3176389,산림
2280,36.5435,127.3215278,산림
2281,36.56655556,127.2589722,경작지
2282,36.55636111,127.2606111,경작지
2283,36.54738889,127.2579722,경작지
2284,36.54697222,127.2578611,경작지
2285,36.54575,127.2834444,산림
2286,36.548,127.2833611,산림
2287,36.51458333,127.2726667,산림
2288,36.51733333,127.30275,산림
2289,36.51780556,127.2986389,산림
2290,36.51997222,127.3394167,산림
2291,36.52641667,127.3380833,산림
2292,36.7305,127.2025,산림
2293,36.73333333,127.1990833,산림
2294,36.73633333,127.1984722,산림
2295,36.73877778,127.1987222,산림
2296,36.72525,127.2380833,경작지
2297,36.72488889,127.2386111,경작지
2298,36.69041667,127.2421667,산림
2299,36.69075,127.24725,산림
2300,36.68163889,127.2484167,산림
2301,36.67677778,127.244,산림
2302,36.67116667,127.19725,경작지
2303,36.69666667,127.1976111,산림
2304,36.63952778,127.2442222,산림
2305,36.64294444,127.2389167,산림
2306,36.64347222,127.2385556,산림
2307,36.64488889,127.2275278,산림
2308,36.65044444,127.2246111,산림
2309,36.64925,127.2251667,산림
2310,36.64655556,127.2218889,산림
2311,36.64669444,127.2182222,산림
2312,36.64619444,127.2190556,산림
2313,36.64675,127.1994722,산림
2314,36.64716667,127.1984722,산림
2315,36.68733333,127.2955,산림
2316,36.72822222,127.3581389,경작지
2317,36.72747222,127.3413056,산림
2318,36.666,127.3555,산림
2319,36.66213889,127.3549722,산림
2320,36.66122222,127.3536944,산림
2321,36.66058333,127.3535,산림
2322,36.65216667,127.3527222,경작지
2323,36.65261111,127.3206944,경작지
2324,36.65238889,127.3224444,산림
2325,36.65013889,127.3226667,경작지
2326,36.64583333,127.2625278,산림
2327,36.63452778,127.2568889,산림
2328,36.63963889,127.2543889,산림
2329,36.68369444,127.3578333,산림
2330,36.67183333,127.3558333,경작지
2331,36.71011111,127.3069444,산림
2332,36.70941667,127.3022222,산림
2333,36.71952778,127.2603611,산림
2334,36.719,127.2682222,경작지
2335,36.67927778,127.2876389,산림
2336,36.68477778,127.2894444,산림
2337,36.68713889,127.2794444,산림
2338,36.68141667,127.2741944,산림
2339,36.68919444,127.28775,산림
2340,36.57863889,127.2105278,산림
2341,36.56419444,127.2236389,산림
2342,36.56077778,127.2203889,산림
2343,36.561,127.218,산림
2344,36.57569444,127.2040278,산림
2345,36.58052778,127.2037222,산림
2346,36.55152778,127.1989167,산림
2347,36.54458333,127.1985278,산림
2348,36.61788889,127.2304167,산림
2349,36.61802778,127.2333889,산림
2350,36.61763889,127.2414167,산림
2351,36.6185,127.2361389,산림
2352,36.62077778,127.232,경작지
2353,36.61961111,127.2030278,산림
2354,36.61677778,127.2094167,산림
2355,36.60502778,127.1975278,산림
2356,36.52113889,127.2280833,산림
2357,36.51747222,127.2245833,산림
2358,36.51683333,127.2225278,산림
2359,36.50655556,127.2208056,산림
2360,36.5235,127.2017778,산림
2361,36.51069444,127.2037778,경작지
2362,36.57863889,127.2105278,산림
2363,36.56419444,127.2236389,산림
2364,36.56077778,127.2203889,산림
2365,36.561,127.218,산림
2366,36.57569444,127.2040278,산림
2367,36.58052778,127.2037222,산림
2368,36.55152778,127.1989167,산림
2369,36.54458333,127.1985278,산림
2370,36.61788889,127.2304167,산림
2371,36.61802778,127.2333889,산림
2372,36.61763889,127.2414167,산림
2373,36.6185,127.2361389,산림
2374,36.62077778,127.232,경작지
2375,36.61961111,127.2030278,산림
2376,36.61677778,127.2094167,산림
2377,36.60502778,127.1975278,산림
2378,36.52113889,127.2280833,산림
2379,36.51747222,127.2245833,산림
2380,36.51683333,127.2225278,산림
2381,36.50655556,127.2208056,산림
2382,36.5235,127.2017778,산림
2383,36.51069444,127.2037778,경작지
2384,35.23427778,127.5385278,산림
2385,35.16077778,127.6101944,경작지
2386,35.15761111,127.6179722,경작지
2387,35.15941667,127.61625,경작지
2388,35.16388889,127.6141389,경작지
2389,35.13708333,127.6088889,산림
2390,35.12686111,127.60375,산림
2391,35.13361111,127.5940278,산림
2392,35.13191667,127.5888889,산림
2393,35.14063889,127.5936111,산림
2394,35.14555556,127.5970833,산림
2395,35.15144444,127.6008333,산림
2396,35.15513889,127.5968333,산림
2397,35.16136111,127.599,산림
2398,35.16344444,127.5431667,경작지
2399,35.15741667,127.5570833,산림
2400,35.15911111,127.5633333,산림
2401,35.15661111,127.5708611,산림
2402,35.16088889,127.5725278,산림
2403,35.16325,127.5624167,산림
2404,35.13963889,127.5737222,산림
2405,35.14027778,127.5481389,경작지
2406,35.14738889,127.5245278,산림
2407,35.15419444,127.5192778,산림
2408,35.15013889,127.5293889,산림
2409,35.14269444,127.5137222,산림
2410,35.14308333,127.5172778,산림
2411,35.14205556,127.5199444,산림
2412,35.13480556,127.5104722,경작지
2413,35.18802778,127.6130278,산림
