종명,접수일시,도로유형,도로명
고라니,2022-05-08,고속국도(재정),50
고라니,2022-05-08,고속국도(재정),12
고라니,2022-05-08,고속국도(재정),151
고라니,2022-05-09,고속국도(재정),15
고라니,2022-05-09,고속국도(재정),55
고라니,2022-05-10,고속국도(재정),151
고라니,2022-05-10,고속국도(재정),50
고라니,2022-05-10,고속국도(재정),30
담비,2022-05-10,고속국도(재정),10
고라니,2022-05-10,고속국도(재정),1
고양이,2022-05-10,고속국도(재정),1
고라니,2022-05-11,고속국도(재정),영동고속도로
고라니,2022-05-11,고속국도(재정),50
고라니,2022-05-11,고속국도(재정),중앙고속도로
고양이,2022-05-11,고속국도(재정),호남고속도로
미동정(포유류),2022-05-11,고속국도(재정),순천완주고속도로
고라니,2022-05-12,고속국도(재정),서천공주고속도로
고라니,2022-05-12,고속국도(재정),중앙고속도로
꿩,2022-05-12,고속국도(재정),중앙고속도로
오소리,2022-05-12,고속국도(재정),중앙고속도로
꿩,2022-05-12,고속국도(재정),서해안고속도로
고라니,2022-05-12,고속국도(재정),중부고속도로
고라니,2022-05-12,고속국도(재정),당진영덕고속도로
고라니,2022-05-13,고속국도(재정),중앙고속도로
고라니,2022-05-13,고속국도(재정),중부고속도로
고양이,2022-05-13,고속국도(재정),호남고속도로
고라니,2022-05-13,고속국도(재정),당진영덕고속도로
고라니,2022-05-13,고속국도(재정),경부고속도로
고라니,2022-05-13,고속국도(재정),광주대구고속도로
고라니,2022-05-14,고속국도(재정),무안-광주고속국도
고라니,2022-05-14,고속국도(재정),서해안고속도로
고라니,2022-05-14,고속국도(재정),호남고속도로
고라니,2022-05-14,고속국도(재정),중부내륙고속도로
고라니,2022-05-14,고속국도(재정),중부고속도로
오소리,2022-05-14,고속국도(재정),통영대전고속도로
고라니,2022-05-15,고속국도(재정),중앙고속도로
고라니,2022-05-15,고속국도(재정),중부내륙고속도로
담비,2022-05-15,고속국도(재정),55
고라니,2022-05-15,고속국도(재정),제2중부고속도로
고라니,2022-05-15,고속국도(재정),중부고속도로
고라니,2022-05-15,고속국도(재정),경부고속도로
고라니,2022-05-15,고속국도(재정),서해안고속도로
고라니,2022-05-16,고속국도(재정),남해고속도로
고라니,2022-05-16,고속국도(재정),중부고속도로
고라니,2022-05-16,고속국도(재정),통영대전고속도로
고라니,2022-05-16,고속국도(재정),중앙고속도로
고라니,2022-05-16,고속국도(재정),서해안고속도로
고라니,2022-05-16,고속국도(재정),호남고속도로지선
개,2022-05-16,고속국도(재정),호남고속도로
고라니,2022-05-17,고속국도(재정),중부내륙고속도로
고라니,2022-05-17,고속국도(재정),중부고속도로
고라니,2022-05-17,고속국도(재정),영동고속도로
