이정,X좌표값,Y좌표값
81.1,35.37260282,127.9147394
81.2,35.37348702,127.9145256
81.3,35.37436696,127.914287
81.4,35.37523935,127.9140102
81.5,35.37610366,127.913698
81.6,35.37695864,127.9133496
81.7,35.37780784,127.9129804
81.8,35.37865691,127.9126109
81.9,35.37950722,127.9122456
82.0,35.38035658,127.911877
82.1,35.38120519,127.9115059
82.2,35.38205643,127.9111438
82.3,35.38290604,127.9107761
82.4,35.38375373,127.9104018
82.5,35.38459146,127.9099961
82.6,35.38539763,127.9095047
82.7,35.3861555,127.9089097
82.8,35.38686367,127.9082294
82.9,35.38751256,127.9074662
83.0,35.38809938,127.9066313
83.1,35.38861247,127.9057269
83.2,35.389046,127.9047627
83.3,35.38940609,127.9037541
83.4,35.38970439,127.9027154
83.5,35.38999475,127.9016733
83.6,35.39028263,127.9006302
83.7,35.39056909,127.8995864
83.8,35.39085782,127.8985436
83.9,35.39114638,127.8975008
84.0,35.391443,127.8964614
84.1,35.39176901,127.8954352
84.2,35.39212836,127.8944257
84.3,35.39251027,127.8934286
84.4,35.39292237,127.8924497
84.5,35.39335757,127.8914857
84.6,35.39381796,127.8905393
84.7,35.39427879,127.8895932
84.8,35.39474226,127.888649
84.9,35.39520339,127.8877031
85.0,35.39566488,127.8867574
85.1,35.39612724,127.8858124
85.2,35.39658921,127.8848671
85.3,35.39705232,127.8839226
85.4,35.39751329,127.8829766
85.5,35.39797929,127.8820342
85.6,35.39844741,127.8810934
85.7,35.39891101,127.8801493
85.8,35.39937591,127.8792061
85.9,35.3998835,127.8782969
86.0,35.40045678,127.8774481
86.1,35.40109759,127.8766745
86.2,35.40179272,127.8759742
86.3,35.40250582,127.8753008
86.4,35.4032179,127.8746258
86.5,35.40393197,127.8739539
86.6,35.40464576,127.8732815
86.7,35.40535841,127.8726073
86.8,35.40607046,127.8719322
86.9,35.40678334,127.8712583
87.0,35.40749622,127.8705845
87.1,35.40821103,127.8699137
87.2,35.40892342,127.8692391
87.3,35.40963475,127.8685628
87.4,35.41034691,127.8678878
87.5,35.41106082,127.8672156
